R,G,B,H,S,V,Pixel,Berat,Class,Lebar
108,40,11,110,245,107,11766,35,belum matang,1.0312896246
110,38,14,113,244,108,13161,35,belum matang,0.9883773144
117,51,15,109,243,114,12516,35,belum matang,0.9465486726
101,34,13,113,242,98,13026,35,belum matang,1.0869407895
132,54,22,111,235,129,17952,35,belum matang,0.9883969439
126,47,19,112,235,124,18801,35,belum matang,0.8478196661
142,62,18,109,238,146,17106,35,belum matang,0.8961013216
126,59,18,108,241,121,13608,35,belum matang,1.0220023492
148,55,18,111,238,150,17598,35,belum matang,1.0193122969
126,45,16,112,238,123,16020,35,belum matang,1.0153862813
136,65,18,107,240,131,17748,35,belum matang,0.9763057721
144,76,21,105,239,140,15111,35,belum matang,1.0779497465
137,58,19,110,239,137,16047,35,belum matang,0.958908954
135,55,16,110,238,138,16794,35,belum matang,1.0221043756
134,46,15,112,242,131,15579,35,belum matang,1.003233912
120,44,21,114,234,115,29463,55,matang,0.9293194013
117,40,17,114,240,112,25812,55,matang,0.8694464787
122,43,20,114,237,115,25662,55,matang,0.9805518584
116,37,17,114,242,111,21627,55,matang,1.0192834421
119,41,24,115,235,115,24651,55,matang,1.0908862769
111,36,17,114,240,110,23781,55,matang,0.9224061433
125,44,19,113,236,122,26775,55,matang,0.9003574159
112,35,18,115,241,109,22083,55,matang,0.9417087889
161,58,26,112,233,163,30828,55,matang,0.955
131,43,21,114,237,125,25638,55,matang,1.001603951
165,58,29,113,230,164,31776,55,matang,0.9907932959
126,44,24,114,236,119,25806,55,matang,0.9361871078
171,60,30,113,229,170,33951,55,matang,1.0811715498
122,40,21,114,239,116,24159,55,matang,1.0165987989
128,48,23,113,237,119,25935,55,matang,0.8860314868
117,97,14,95,243,114,12870,29,belum matang,0.9086033184
116,92,13,96,244,114,12141,29,belum matang,0.9147783656
124,99,13,96,245,120,12648,29,belum matang,0.9361728792
123,105,14,94,243,120,13818,29,belum matang,0.9894861911
124,93,14,97,244,122,11169,29,belum matang,1.1414647983
140,94,17,101,244,138,11781,29,belum matang,1.1287334089
130,87,13,101,245,127,11040,29,belum matang,1.1556884058
177,121,25,100,241,175,16731,29,belum matang,1.1337090428
147,91,16,103,245,145,12636,29,belum matang,0.9609568537
147,89,18,103,244,145,12906,29,belum matang,1.0365555604
141,89,17,101,242,136,13644,29,belum matang,0.9477227399
174,106,23,102,241,172,19614,29,belum matang,0.9270004281
125,108,16,94,244,118,13371,29,belum matang,0.9668803659
129,107,14,95,243,125,13698,29,belum matang,0.9968733476
148,99,18,100,240,144,14346,29,belum matang,0.9055073023
156,77,22,107,237,153,30480,56,Setengah matang,0.7907918552
147,79,20,106,237,144,25119,56,Setengah matang,0.9398413017
145,71,18,108,238,144,24753,56,Setengah matang,0.8520746515
181,88,29,108,231,181,31419,56,Setengah matang,0.797577374
139,64,17,109,239,136,23304,56,Setengah matang,0.9947648868
158,60,21,111,237,160,25230,56,Setengah matang,0.9726578936
155,61,24,111,234,156,31755,56,Setengah matang,0.8150540978
194,85,32,110,228,196,34449,56,Setengah matang,0.8133741242
190,89,32,109,227,191,40188,56,Setengah matang,0.940904059
137,58,18,110,237,134,27039,56,Setengah matang,0.8732291593
179,72,30,111,232,182,33570,56,Setengah matang,0.8194736138
